Unnamed: 0,DOI,author,year,title,fname,retrieved
502,10.1016/j.fcr.2015.07.020,pittelkow,2015,when does no-till yield more? a global meta-analysis,pittelkow2015,True
503,10.1016/j.fcr.2016.07.014,xiao,2016,sensitivity of soil water retention and availability to biochar addition in rainfed semi-arid farmland during a three-year field experiment,xiao2016a,True
504,10.1016/j.fcr.2016.11.012,figueiredo,2017,effects of tillage options on soil physical properties and cassava-dry-matter partitioning,figueiredo2017,True
505,10.1016/j.fcr.2017.05.010,wang,2018,"evapotranspiration, crop coefficient and yield for drip-irrigated winter wheat with straw mulching in north china plain",wang2018b,True
506,10.1016/j.fcr.2017.06.015,zhang,2017,effects of ridging and mulching combined practices on proso millet growth and yield in semi-arid regions of china,zhang2017c,True
507,10.1016/j.fcr.2017.08.021,li,2018,in search of long-term sustainable tillage and straw mulching practices for a maize-winter wheat-soybean rotation system in the loess plateau of china,li2018e,True
508,10.1016/j.fcr.2017.09.004,tan,2017,"evaluating effects of four controlling methods in bare strips on soil temperature, water, and salt accumulation under film-mulched drip irrigation",tan2017,True
509,10.1016/j.fcr.2017.11.009,yan,2018,yield loss compensation effect and water use efficiency of winter wheat under double-blank row mulching and limited irrigation in northern china,yan2018,True
510,10.1016/j.flora.2009.03.002,jeddi,2010,changes in soil properties and vegetation following livestock grazing exclusion in degraded arid environments of south tunisia,jeddi2010,True
511,10.1016/j.geoderma.2003.09.010,leite,2004,simulating trends in soil organic carbon of an acrisol under no-tillage and disc-plow systems using the century model,leite2004,True
512,10.1016/j.geoderma.2006.03.011,ojeda,2006,fractal analysis of soil water hysteresis as influenced by  sewage sludge application,ojeda2006a,True
513,10.1016/j.geoderma.2007.01.006,li,2007,soil physical properties and their relations to organic carbon pools as affected by land use in an alpine pastureland,li2007a,True
514,10.1016/j.geoderma.2007.02.018,redel,2007,phosphorus bioavailability affected by tillage and crop rotation on a chilean volcanic derived ultisol,redel2007,True
515,10.1016/j.geoderma.2007.06.009,fleskens,2007,is soil erosion in olive groves as bad as often claimed?,fleskens2007,True
516,10.1016/j.geoderma.2008.01.003,wang,2008,"soil chemical properties and microbial biomass after 16 years of no-tillage farming on the loess plateau, china",wang2008a,True
517,10.1016/j.geoderma.2008.03.020,tejada,2008,"influence of two organic amendments on the soil physical properties, soil  losses, sediments and runoff water quality",tejada2008,True
518,10.1016/j.geoderma.2008.04.005,álvaro-fuentes,2008,tillage and cropping intensification effects on soil aggregation: temporal dynamics and controlling factors under semiarid conditions,álvaro-fuentes2008a,True
519,10.1016/j.geoderma.2008.11.036,blanco-canqui,2009,extent of soil water repellency under long-term no-till soils,blanco-canqui2009b,True
520,10.1016/j.geoderma.2009.05.009,romanyà,2009,organic and inorganic p reserves in rain-fed and irrigated calcareous soils under long-term organic and conventional agriculture,romanyà2009,True
521,10.1016/j.geoderma.2010.05.005,imhoff,2010,porosity characterization of argiudolls under different management systems in the argentine flat pampa,imhoff2010,True
522,10.1016/j.geoderma.2010.05.013,laird,2010,impact of biochar amendments on the quality of a typical midwestern agricultural soil,laird2010a,True
523,10.1016/j.geoderma.2010.09.028,celik,2010,effects of long-term organic and mineral fertilizers on bulk density and penetration resistance in semi-arid mediterranean soil conditions,celik2010a,True
524,10.1016/j.geoderma.2011.04.022,schjønning,2011,relating soil microbial activity to water content and tillage-induced differences in soil structure,schjønning2011,True
525,10.1016/j.geoderma.2011.09.009,silva,2011,"soil physical quality of luvisols under agroforestry, natural vegetation and conventional crop management systems in the brazilian semi-arid region",silva2011,True
526,10.1016/j.geoderma.2012.01.003,díaz-raviña,2012,mulching and seeding treatments for post-fire soil stabilisation in nw spain: short-term effects and effectiveness,díaz-raviña2012,True
527,10.1016/j.geoderma.2012.02.009,prats,2012,effectiveness of forest residue mulching in reducing post-fire runoff and erosion in a pine and a eucalypt plantation in north-central portugal,prats2012,True
528,10.1016/j.geoderma.2012.03.025,martinez,2012,subsoiling improves conservation tillage in cereal production of severely degraded alfisols under mediterranean climate,martinez2012,True
529,10.1016/j.geoderma.2012.05.015,blanco-moure,2012,tensile strength and organic carbon of soil aggregates under long-term no tillage in semiarid aragon (ne spain),blanco-moure2012a,True
530,10.1016/j.geoderma.2012.07.005,andruschkewitsch,2013,"effects of tillage on contents of organic carbon, nitrogen, water-stable aggregates and light fraction for four different long-term trials",andruschkewitsch2013,True
531,10.1016/j.geoderma.2012.10.022,plaza-bonilla,2013,soil aggregation and organic carbon protection in a no-tillage chronosequence under mediterranean conditions,plaza-bonilla2013b,True
532,10.1016/j.geoderma.2013.03.003,abel,2013,impact of biochar and hydrochar addition on water retention and water repellency of sandy soil,abel2013a,True
533,10.1016/j.geoderma.2013.04.017,guedes,2013,structural properties of the soil seedbed submitted to mechanical and biological chiseling under no-tillage,guedes2013c,True
534,10.1016/j.geoderma.2013.04.025,jorge-mardomingo,2013,seasonal changes  in microbial activity in a semiarid soil after application of a high dose of different organic amendments,jorge-mardomingo2013,False
535,10.1016/j.geoderma.2013.05.008,guedes filho,2013,"least limiting water range of the soil seedbed for long-term tillage and cropping systems in the central great plains, usa",guedes2013a,True
536,10.1016/j.geoderma.2013.06.008,tivet,2013,soil organic carbon fraction losses upon continuous plow-based tillage and its restoration by diverse biomass-c inputs under no-till in sub-tropical and tropical regions of brazil,tivet2013b,True
537,10.1016/j.geoderma.2013.06.016,herath,2013,effect of biochar on soil physical properties in two contrasting soils: an alfisol and an andisol,herath2013a,True
538,10.1016/j.geoderma.2013.06.025,mujuru,2013,land use and management effects on soil organic matter fractions in rhodic ferralsols and haplic arenosols in bindura and shamva districts of zimbabwe,mujuru2013,True
539,10.1016/j.geoderma.2013.08.021,liu,2014,long-term effects of no-tillage management practice on soil organic carbon and its fractions in the northern china,liu2014a,True
540,10.1016/j.geoderma.2013.10.022,andruschkewitsch,2014,effect of long-term tillage treatments on the temporal dynamics of water-stable aggregates and on macro-aggregate turnover at three german sites,andruschkewitsch2014,True
541,10.1016/j.geoderma.2013.12.017,nicolás,2014,soil aggregation in a semiarid soil amended  with composted and non-composted sewage sludge-a field experiment,nicolás2014,True
542,10.1016/j.geoderma.2013.12.022,soinne,2014,effect of biochar on phosphorus sorption and clay soil aggregate stability,soinne2014,True
543,10.1016/j.geoderma.2014.04.009,rogovska,2014,biochar impact on midwestern mollisols and maize nutrient availability,rogovska2014,True
544,10.1016/j.geoderma.2014.05.007,borchard,2014,black carbon and soil properties at historical charcoal production sites in germany,borchard2014a,True
545,10.1016/j.geoderma.2014.07.002,peake,2014,quantifying the influence of biochar on the physical and hydrological properties of dissimilar soils,peake2014a,True
546,10.1016/j.geoderma.2014.08.010,butnan,2015,biochar characteristics and application rates affecting corn growth and properties of soils contrasting in texture and mineralogy,butnan2015,True
547,10.1016/j.geoderma.2014.12.015,bayabil,2015,assessing the potential of biochar and charcoal to improve soil hydraulic properties in the humid ethiopian highlands: the anjeni watershed,bayabil2015,False
548,10.1016/j.geoderma.2015.01.009,eibisch,2015,does water repellency of pyrochars and hydrochars counter their positive effects on soil hydraulic properties?,eibisch2015,True
549,10.1016/j.geoderma.2015.01.012,heitkã¶tter,2015,"interactive effects of biochar ageing in soils related to feedstock, pyrolysis temperature, and historic charcoal production",heitkã¶tter2015,False
550,10.1016/j.geoderma.2015.02.014,ojeda,2015,are soil-water functions affected by biochar application?,ojeda2015a,True
551,10.1016/j.geoderma.2015.03.022,jeffery,2015,biochar application does not improve the soil hydrological function of a sandy soil,jeffery2015a,True
552,10.1016/j.geoderma.2015.06.003,nunes,2015,effect of soil chiseling on soil structure and root growth for a clayey soil under no-tillage,nunes2015,True
553,10.1016/j.geoderma.2016.02.010,chaplot,2016,potential of grassland rehabilitation through high density-short duration grazing to sequester atmospheric carbon,chaplot2016,True
554,10.1016/j.geoderma.2016.03.028,deiss,2016,soil phosphorus compounds in integrated crop-livestock systems of subtropical brazil,deiss2016,True
555,10.1016/j.geoderma.2016.03.029,omondi,2016,quantification of biochar effects on soil hydrological properties using meta-analysis of literature data,omondi2016a,True
556,10.1016/j.geoderma.2016.04.013,carvalho,2016,properties of a clay soil from 1.5 to 3.5 years after biochar application and the impact on rice yield,carvalho2016b,True
557,10.1016/j.geoderma.2016.06.028,glab,2016,effect of biochar application on soil hydrological properties and physical quality of sandy soil,glab2016a,True
558,10.1016/j.geoderma.2016.07.019,burrell,2016,long-term effects of biochar on soil physical properties,burrell2016a,True
559,10.1016/j.geoderma.2016.08.001,chandrasoma,2016,soil hydraulic properties as influenced by prairie restoration,chandrasoma2016,True
560,10.1016/j.geoderma.2017.04.012,reichert,2017,is chiseling or inverting tillage required to improve mechanical and hydraulic properties of sandy clay loam soil under long-term no-tillage?,reichert2017,True
561,10.1016/j.geoderma.2017.05.027,wang,2017,biochar additions can enhance soil structure and the physical stabilization of c in aggregates,wang2017b,True
562,10.1016/j.geoderma.2017.05.029,madari,2017,properties of a sandy clay loam haplic ferralsol and soybean grain yield in a five-year field trial as affected by biochar amendment,madari2017,True
563,10.1016/j.geoderma.2017.05.041,moragues-saitua,2017,effects of biochar and wood ash on soil hydraulic properties: a field experiment involving contrasting temperate soils,moragues-saitua2017,True
564,10.1016/j.geoderma.2017.08.007,aller,2017,impacts of fresh and aged biochars on plant available water and water use efficiency,aller2017a,True
565,10.1016/j.geoderma.2017.08.025,amoakwah,2017,"soil water retention, air flow and pore structure characteristics after corn cob biochar application to a tropical sandy loam",amoakwah2017a,True
566,10.1016/j.geoderma.2017.10.041,choudhary,2018,changes in soil biology under conservation agriculture based sustainable intensification of cereal systems in indo-gangetic plains,choudhary2018,True
567,10.1016/j.geoderma.2017.11.034,gå‚ä…b,2018,"effects of co-composted maize, sewage sludge, and biochar mixtures on hydrological and physical qualities of sandy soil",gå‚ä…b2018,True
568,10.1016/j.geoderma.2017.12.033,de sousa lima,2018,effect of biochar on physicochemical properties of a sandy soil and maize growth in a greenhouse experiment,de2018,True
569,10.1016/j.geoderma.2018.03.021,villagra-mendoza,2018,effect of biochar addition on hydraulic functions of two textural soils,villagra-mendoza2018a,True
570,10.1016/j.geoderma.2018.06.014,li,2018,impact of biochar addition on soil properties and water-fertilizer productivity of tomato in semi-arid region of inner mongolia,li2018c,True
571,10.1016/j.geoderma.2019.01.010,deuschle,2019,erosion and hydrological response in no-tillage subjected to crop rotation intensification in southern brazil,deuschle2019,True
572,10.1016/j.geoderma.2019.01.012,wang,2019,impact of biochar on water retention of two agricultural soils: a multi-scale analysis,wang2019a,True
573,10.1016/j.geoderma.2019.05.029,sachdeva,2019,biochar-induced soil stability influences phosphorus retention in a temperate agricultural soil,sachdeva2019,True
574,10.1016/j.geodrs.2019.e00206,auler,2019,lime effects in a no-tillage system on inceptisols in southern brazil,auler2019,True
575,10.1016/j.geomorph.2009.04.018,auerswald,2009,rates of sheet and rill erosion in germany — a meta-analysis,auerswald2009,True
576,10.1016/j.indcrop.2014.03.030,carrubba,2014,organic and chemical n fertilization on coriander (coriandrum sativum l.) in a mediterranean environment,carrubba2014,True
577,10.1016/j.iswcr.2019.05.005,ghorbani,2019,effects of rice husk biochar on selected soil properties and nitrate leaching in loamy sand and clay soil,ghorbani2019,True
578,10.1016/j.jaap.2015.05.006,mollinedo,2015,influence of feedstocks and pyrolysis on biochar's capacity to modify soil water retention characteristics,mollinedo2015a,True
579,10.1016/j.jaridenv.2007.03.009,castellano,2007,"livestock, soil compaction and water infiltration rate: evaluating a potential desertification recovery mechanism",castellano2007,True
580,10.1016/j.jaridenv.2009.03.013,du toit,2009,physical impact of grazing by sheep on soil parameters in the nama karoo subshrub/grass rangeland of south africa,du2009,True
581,10.1016/j.jaridenv.2009.10.016,tefera,2010,changes in soil characteristics and grass layer condition in relation to land management systems in the semi-arid savannas of swaziland,tefera2010,True
582,10.1016/j.jaridenv.2010.09.002,hanke,2011,rehabilitation of arid rangelands: intensifying water  pulses from low-intensity winter rainfall,hanke2011,True
583,10.1016/j.jaridenv.2011.02.007,chartier,2011,"effects of soil degradation on infiltration rates in grazed semiarid rangelands ofâ northeastern patagonia, argentina",chartier2011,True
584,10.1016/j.jaridenv.2013.07.004,kotzé,2013,rangeland management impacts on the properties of clayey soils along grazing gradients in the semi-arid grassland biome of south africa,kotzé2013,True
585,10.1016/j.jaridenv.2015.04.004,sandhage-hofmann,2015,"rangeland management effects on soil properties in the savanna biome, south africa: a case study along grazing gradients in communal and commercial farms",sandhage-hofmann2015,True
586,10.1016/j.jclepro.2013.04.033,zhang,2013,comparison of three tillage systems in the wheat-maize system on carbon sequestration in the north china plain,zhang2013b,True
587,10.1016/j.jclepro.2014.05.021,lag-brotons,2014,sewage sludge compost use in bioenergy production - a case study on the effects on cynara cardunculus l energy crop,lag-brotons2014,True
588,10.1016/j.jclepro.2018.12.013,dai,2019,water-stable aggregates and carbon accumulation in barren sandy soil depend on organic amendment method: a three-year field study,dai2019,True
589,10.1016/j.jclepro.2019.118435,zhang,2020,"effects of six-year biochar amendment on soil aggregation, crop growth, and nitrogen and phosphorus use efficiencies in a rice-wheat rotation",zhang2020b,True
590,10.1016/j.jenvman.2004.11.003,abule,2005,comparisons of pastoralists perceptions about rangeland resource utilisation in the middle awash valley of ethiopia,abule2005,False
591,10.1016/j.jenvman.2006.01.002,tarrasón,2007,a multi-criteria evaluation of organic amendments used to  transform an unproductive shrubland into a mediterranean dehesa,tarrasón2007,True
592,10.1016/j.jenvman.2009.02.003,jenkins,2009,17 beta-estradiol and testosterone in drainage and runoff from poultry litter applications to tilled and no-till crop land under irrigation,jenkins2009,False
593,10.1016/j.jenvman.2010.01.004,ippolito,2010,infrequent composted biosolids  applications affect semi-arid grassland soils and vegetation,ippolito2010,False
594,10.1016/j.jenvman.2010.06.013,jones,2010,"effect of amendment of bauxite processing sand with organic materials on its chemical, physical and microbial properties",jones2010a,False
595,10.1016/j.jenvman.2012.05.029,jemai,2012,on-farm assessment of tillage impact on the vertical distribution of soil organic carbon and structural soil properties in a semiarid region in tunisia,jemai2012a,True
596,10.1016/j.jenvman.2012.08.018,tuomisto,2012,does organic farming reduce environmental impacts? – a meta-analysis of european research,tuomisto2012,True
597,10.1016/j.jenvman.2013.05.057,thomas,2013,biochar mitigates negative effects of salt additions on two herbaceous plant species,thomas2013,True
598,10.1016/j.jenvman.2014.08.024,aranda,2015,biochemical activity and chemical-structural properties of soil organic matter after 17 years of amendments with olive-mill pomace co-compost,aranda2015,True
599,10.1016/j.jenvman.2016.07.023,hartley,2016,"effects of three different biochars on aggregate stability, organic carbon mobility and micronutrient bioavailability",hartley2016,True
600,10.1016/j.jenvman.2017.10.035,rizwan,2018,"residual effects of biochar on growth, photosynthesis and cadmium uptake in rice (oryza sativa l.) under cd stress with different water conditions",rizwan2018,True
601,10.1016/j.jhydrol.2005.11.003,ruy,2006,effect of mulching techniques on plot scale runoff: fdtf modeling and sensitivity analysis,ruy2006,True
602,10.1016/j.jhydrol.2007.11.033,laloy,2008,plot scale continuous modelling of runoff in a maize cropping system with dynamic soil surface properties,laloy2008,True
603,10.1016/j.jhydrol.2015.12.007,liu,2016,impacts of biochar concentration and particle size on hydraulic conductivity and doc leaching of biocharâ€“sand mixtures,liu2016e,True
604,10.1016/j.jhydrol.2016.04.060,yu,2016,estimation of runoff mitigation by morphologically different cover crop root systems,yu2016b,True
605,10.1016/j.jhydrol.2017.06.048,fang,2017,runoff and soil erosion of field plots in a subtropical mountainous region of china,fang2017,True
606,10.1016/j.jhydrol.2019.124290,duan,2020,role of groundcover management in controlling soil erosion under extreme rainfall in citrus orchards of southern china,duan2020,True
607,10.1016/j.jnc.2016.09.003,peri,2016,biodiversity and ecological long-term plots in southern patagonia to support sustainable land management: the case of pebanpa network,peri2016,True
608,10.1016/j.jterra.2005.04.002,filipovic,2006,effects of tillage systems on compaction and crop yield of albic luvisol in croatia,filipovic2006,False
609,10.1016/j.pedobi.2003.06.001,jordan,2004,effect of management practices and cropping systems on earthworm abundance and microbial activity in sanborn field: a 115-year-old agricultural field,jordan2004,True
610,10.1016/j.pedobi.2009.11.004,campos-herrera,2010,effect of seasonality and agricultural practices on occurrence of entomopathogenic nematodes and soil characteristics in la rioja (northern spain),campos-herrera2010,True
611,10.1016/j.pedobi.2011.03.002,beyer,2011,assessing the relationship between fire and grazing on soil characteristics and mite communities in a semi-arid savanna of northern australia,beyer2011,True
612,10.1016/j.pedobi.2011.09.007,schon,2011,earthworms in new zealand sheep- and dairy-grazed pastures with focus on anecic aporrectodea longa,schon2011,True
613,10.1016/j.pedobi.2015.10.003,hewins,2015,"grazing, regional climate and soil biophysical impacts on microbial enzyme activity in grassland soil of western canada",hewins2015,True
614,10.1016/j.scienta.2006.12.016,huang,2007,effects of different ways of sod in eroded slope orchard on soil and fruit tree growth,huang2007b,True
615,10.1016/j.scienta.2011.08.012,campiglia,2011,influence of no-tillage and organic mulching on tomato (solanum lycopersicum l.) production and nitrogen use in the mediterranean environment of central italy,campiglia2011a,True
616,10.1016/j.scienta.2013.05.025,lee,2013,“cabernet sauvignon” grape anthocyanin increased by soil conservation practices,lee2013,True
617,10.1016/j.scienta.2013.11.032,ierna,2014,"crop growth and tuber yield of ""early"" potato crop under organic and conventional farming",ierna2014,True
618,10.1016/j.scienta.2013.12.018,campiglia,2014,do cover crop species and residue management play a leading role in pepper productivity?,campiglia2014a,True
619,10.1016/j.scienta.2014.03.011,giese,2014,complete vineyard floor cover crops favorably limit grapevine vegetative growth,giese2014,True
620,10.1016/j.scienta.2017.05.004,agbna,2017,"effects of deficit irrigation and biochar addition on the growth, yield, and quality of tomato",agbna2017,True
621,10.1016/j.sciotenv.2007.01.046,alvaro-fuentes,2007,soil management effects on aggregate dynamics in semiarid aragon (ne spain,alvaro-fuentes2007,False
622,10.1016/j.scitotenv.2005.05.036,martinez,2006,environmental impact from mountainous olive orchards under different soil-management systems (se spain),martinez2006,True
623,10.1016/j.scitotenv.2013.07.023,sanz-cobena,2014,"do cover crops enhance n2o, co2 or ch4 emissions from soil in mediterranean arable systems? science of the total environment, 466, 164–174",sanz-cobena2014,True
624,10.1016/j.scitotenv.2014.03.106,moreno-jimenez,2014,sprinkler irrigation of rice fields reduces grain arsenic but enhances cadmium,moreno-jimenez2014,True
625,10.1016/j.scitotenv.2014.03.141,mukherjee,2014,effects of biochar and other amendments on the physical properties and greenhouse gas emissions of an artificially degraded soil,mukherjee2014a,True
626,10.1016/j.scitotenv.2014.05.019,balota,2014,soil microbial properties after long-term swine slurry application to conventional and no-tillage systems in brazil,balota2014a,False
627,10.1016/j.scitotenv.2014.05.065,abalos,2014,management of irrigation frequency and nitrogen fertilization to mitigate ghg and no emissions from drip-fertigated crops,abalos2014,True
628,10.1016/j.scitotenv.2014.11.041,tellez-rio,2015,n2o and ch4 emissions from a fallow-wheat rotation with low n input in conservation and conventional tillage under a mediterranean agroecosystem,tellez-rio2015a,True
629,10.1016/j.scitotenv.2015.03.027,singh,2015,tillage and crop residue management methods had minor effects on the stock and stabilization of topsoil carbon in a 30-year field experiment,singh2015,True
630,10.1016/j.scitotenv.2016.01.143,bass,2016,"soil properties, greenhouse gas emissions and crop yield under compost, biochar and co-composted biochar in two tropical agronomic systems",bass2016,False
631,10.1016/j.scitotenv.2016.08.092,louro,2016,greenhouse gas fluxes from a grazed grassland soil  after slurry injections and mineral fertilizer applications under the atlantic climatic conditions of nw spain,louro2016,True
632,10.1016/j.scitotenv.2016.09.025,suliman,2017,the role of biochar porosity and surface functionality in augmenting hydrologic properties of a sandy soil,suliman2017a,True
633,10.1016/j.scitotenv.2018.08.412,jin,2019,"the crucial factors of soil fertility and rapeseed yield - a five-year field trial with biochar addition in upland red soil, china",jin2019a,True
634,10.1016/j.scitotenv.2018.08.415,li,2018,impacts of biochar application rates and particle sizes on runoff and soil loss in small cultivated loess plots under simulated rainfall,li2018b,True
635,10.1016/j.scitotenv.2019.133732,fu,2019,effects of biochar application during different periods on soil structures and water retention in seasonally frozen soil areas,fu2019b,True
636,10.1016/j.scitotenv.2019.134829,sun,2020,biochar altered native soil organic carbon by changing soil aggregate size distribution and native soc in aggregates based on an 8-year field experiment,sun2020,True
637,10.1016/j.smallrumres.2013.06.001,delgado-pertinez,2013,"milk production, fatty acid composition and vitamin e content of payoya goats according to grazing level in summer on mediterranean shrublands",delgado-pertinez2013,True
638,10.1016/j.soilbio.2003.08.016,feng,2003,soil microbial communities under conventional-till and no-till continuous cotton systems,feng2003,False
639,10.1016/j.soilbio.2003.10.026,spedding,2004,soil microbial dynamics in maize-growing soil under different tillage and residue management systems,spedding2004a,True
640,10.1016/j.soilbio.2005.05.018,sullivan,2006,parallel shifts in plant and soil microbial  communities in response to biosolids in a semi-arid grassland,sullivan2006b,True
641,10.1016/j.soilbio.2005.09.023,monokrousos,2006,soil quality variables in organically and conventionally cultivated field sites,monokrousos2006,True
642,10.1016/j.soilbio.2005.11.009,marriott,2006,qualitative and quantitative differences in particulate organic matter fractions in organic and conventional farming systems,marriott2006,False
643,10.1016/j.soilbio.2005.12.008,purin,2006,mycorrhizae activity and diversity in conventional and organic apple orchards from brazil,purin2006,False
644,10.1016/j.soilbio.2007.01.008,kowaljow,2007,soil restoration in semiarid patagonia: chemical and biological response  to different compost quality,kowaljow2007,True
645,10.1016/j.soilbio.2007.09.015,monacoa,2008,changes in chemical and biochemical soil properties induced by 11-yr repeated additions of different organic materials in maize-based forage systems,monacoa2008,False
646,10.1016/j.soilbio.2008.02.005,sanchez-martin,2008,influence of drip and furrow irrigation systems on nitrogen oxide emissions from a horticultural crop,sanchez-martin2008,True
647,10.1016/j.soilbio.2008.09.015,abiven,2009,the effects of organic inputs over time on soil aggregate stability - a literature analysis,abiven2009,True
648,10.1016/j.soilbio.2009.11.020,fuentes,2010,organic carbon and stable c-13 isotope in conservation agriculture and conventional systems,fuentes2010,False
649,10.1016/j.soilbio.2010.01.020,buyer,2010,factors affecting soil microbial community structure in tomato cropping systems,buyer2010,False
650,10.1016/j.soilbio.2010.08.013,babujia,2010,microbial biomass and activity at various soil depths in a brazilian oxisol after two decades of no-tillage and conventional tillage,babujia2010a,False
651,10.1016/j.soilbio.2010.09.005,kong,2011,"microbial community composition and carbon cycling within soil microenvironments of conventional, low-input, and organic cropping systems",kong2011,True
652,10.1016/j.soilbio.2011.06.002,shan,2011,seasonally dependent impacts of grazing on soil nitrogen mineralization and linkages to ecosystem functioning in inner mongolia grassland,shan2011,False
653,10.1016/j.soilbio.2011.10.012,jones,2012,biochar-mediated changes in soil quality and plant growth in a three year field trial,jones2012,True
654,10.1016/j.soilbio.2012.03.017,case,2012,the effect of biochar addition on n2o and co2 emissions from a sandy loam soil: the role of soil aeration,case2012a,True
655,10.1016/j.soilbio.2012.07.026,plaza,2013,"physical, chemical, and biochemical mechanisms of soil organic matter stabilization under conservation tillage systems: a central role for microbes and microbial by-products in c sequestration",plaza2013,True
656,10.1016/j.soilbio.2012.10.035,saarnio,2013,biochar addition indirectly affects n2o emissions via soil moisture and plant n uptake,saarnio2013,True
657,10.1016/j.soilbio.2013.04.022,bastida,2013,phylogenetic and functional changes in the microbial  community of long-term restored soils under semiarid climate,bastida2013,False
658,10.1016/j.soilbio.2013.05.009,navarro-noya,2013,"relative impacts of tillage, residue management and crop-rotation on soil bacterial communities in a semi-arid agroecosystem",navarro-noya2013,False
659,10.1016/j.soilbio.2013.06.015,pastorelli,2013,consequences on macroporosity and bacterial diversity of adopting a no-tillage farming system in a clayish soil of central italy,pastorelli2013,False
660,10.1016/j.soilbio.2013.09.011,ryals,2014,impacts of organic matter amendments on  carbon and nitrogen dynamics in grassland soils,ryals2014,False
661,10.1016/j.soilbio.2013.10.026,plaza-bonilla,2014,soil management effects on greenhouse gases production at the macroaggregate scale,plaza-bonilla2014b,True
662,10.1016/j.soilbio.2014.05.002,alguacil,2014,changes in the composition and diversity of amf communities mediated by management practices in a mediterranean soil are related with increases in soil biological activity,alguacil2014,True
663,10.1016/j.soilbio.2014.06.024,xie,2014,identifying response groups of soil nitrifiers and denitrifiers to grazing and associated soil environmental drivers in tibetan alpine meadows,xie2014a,False
664,10.1016/j.soilbio.2014.07.021,panettieri,2014,"soil organic matter degradation in an agricultural chronosequence under different tillage regimes evaluated by organic matter pools, enzymatic activities and cpmas c-13 nmr",panettieri2014,True
665,10.1016/j.soilbio.2015.01.003,cui,2015,the combined effects of cover crops and symbiotic microbes on phosphatase gene and organic phosphorus hydrolysis in subtropical orchard soils,cui2015,True
666,10.1016/j.soilbio.2015.06.016,mbuthia,2015,"long term tillage, cover crop, and fertilization effects on microbial community structure, activity: implications for soil quality",mbuthia2015a,True
667,10.1016/j.soilbio.2015.09.002,burns,2015,vineyard soil bacterial diversity and composition revealed by 16s rrna genes: differentiation by geographic features,burns2015,True
668,10.1016/j.still.2003.08.007,sisti,2004,change in carbon and nitrogen stocks in soil under 13 years of conventional or zero tillage in southern brazil,sisti2004,True
669,10.1016/j.still.2003.09.001,iijima,2004,soil chemical properties of an indonesian red acid soil as affected by land use and crop management,iijima2004,False
670,10.1016/j.still.2003.09.002,guzha,2004,"effects of tillage on soil microrelief, surface depression storage and soil water storage",guzha2004,True
671,10.1016/j.still.2003.11.005,pinheiro,2004,aggregate distribution and soil organic matter under different tillage systems for vegetable crops in a red latosol from brazil,pinheiro2004,False
672,10.1016/j.still.2003.12.003,balota,2004,long-term tillage and crop rotation effects on microbial biomass and c and n mineralization in a brazilian oxisol,balota2004,False
673,10.1016/j.still.2004.02.002,liebig,2004,tillage and cropping effects on soil quality indicators in the northern great plains,liebig2004a,False
674,10.1016/j.still.2004.02.005,anken,2004,long-term tillage system effects under moist cool conditions in switzerland,anken2004,False
675,10.1016/j.still.2004.02.012,celik,2004,"effects of compost, mycorrhiza, manure and fertilizer on some physical properties of a chromoxerert soil",celik2004,False
676,10.1016/j.still.2004.02.018,jacinthe,2005,labile carbon and methane uptake as affected by tillage intensity in a mollisol,jacinthe2005,False
677,10.1016/j.still.2004.03.006,madari,2005,no tillage and crop rotation effects on soil aggregation and organic carbon in a rhodic ferralsol from southern brazil,madari2005a,True
678,10.1016/j.still.2004.03.018,puget,2005,soil organic carbon and nitrogen in a mollisol in central ohio as affected by tillage and land use,puget2005a,False
679,10.1016/j.still.2004.08.002,sharma,2005,long-term soil management effects on crop yields and soil quality in a dryland alfisol,sharma2005b,False
680,10.1016/j.still.2004.08.006,dam,2005,soil bulk density and crop yield under eleven consecutive years of corn with different tillage and residue practices in a sandy loam soil in central canada,dam2005,False
681,10.1016/j.still.2004.09.009,hussain,2012,factor analysis of tillage effects on soil properties of grantsburg soils in southern illinois under corn and soybean,hussain2012,False
682,10.1016/j.still.2004.09.017,wright,2005,tillage impacts on soil aggregation and carbon and nitrogen sequestration under wheat cropping sequences,wright2005,False
683,10.1016/j.still.2004.10.001,diaz-ravina,2005,"cultivation effects on biochemical properties, c storage and n-15 natural abundance in the 0-5 cm layer of an acidic soil from temperate humid zone",diaz-ravina2005,False
684,10.1016/j.still.2004.12.003,qin,2006,impact of tillage on maize rooting in a cambisol and luvisol in switzerland,qin2006,False
685,10.1016/j.still.2004.12.005,singh,2006,response of soil physical properties to tillage and residue management on two soils in a cool temperate environment,singh2006a,False
686,10.1016/j.still.2005.02.002,cattan,2006,effects of tillage and mulching on runoff under banana (musa spp,cattan2006a,True
687,10.1016/j.still.2005.02.004,micucci,2006,"soil physical properties and soybean (glycine max, merrill) root abundance in conventionally- and zero-tilled soils in the humid pampas of argentina",micucci2006,False
688,10.1016/j.still.2005.02.013,follett,2005,carbon dynamics and sequestration in an irrigated vertisol in central mexico,follett2005,True
689,10.1016/j.still.2005.02.018,bhattacharyya,2006,effect of tillage and crop rotations on pore size distribution and soil hydraulic conductivity in sandy clay loam soil of the indian himalayas,bhattacharyya2006,False
